Child Commit Recent Date,Parent,Hash,Deleted Tests Filepath,Deleted Tests,Deleted Tests Location,Deleted Tests With Whole File,Total Deleted Tests,Total Deleted Tests With Whole File
2020-06-18 11:08:29,abd50366f8c5c51f21c10bed22052567ee8a2ee3,['2bf00f482d52208f5fd3c3e83b8d72c62b2bcb4e'],"['pmd-java/src/test/java/net/sourceforge/pmd/jaxen/RegexpAcceptanceTest.java', 'pmd-core/src/test/java/net/sourceforge/pmd/jaxen/AttributeTest.java', 'pmd-core/src/test/java/net/sourceforge/pmd/lang/ast/impl/AbstractNodeTest.java', 'pmd-core/src/test/java/net/sourceforge/pmd/jaxen/AttributeAxisIteratorTest.java']","['testRemove', 'testConstructor', 'testDeprecatedAttributeXPathQuery', 'testSimple']","{'pmd-java/src/test/java/net/sourceforge/pmd/jaxen/RegexpAcceptanceTest.java': ['testSimple'], 'pmd-core/src/test/java/net/sourceforge/pmd/jaxen/AttributeTest.java': ['testConstructor'], 'pmd-core/src/test/java/net/sourceforge/pmd/lang/ast/impl/AbstractNodeTest.java': ['testDeprecatedAttributeXPathQuery'], 'pmd-core/src/test/java/net/sourceforge/pmd/jaxen/AttributeAxisIteratorTest.java': ['testRemove']}","{'Total File': 3, 'Total Tests': 3, 'Files': ['pmd-core/src/test/java/net/sourceforge/pmd/jaxen/AttributeTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/jaxen/RegexpAcceptanceTest.java', 'pmd-core/src/test/java/net/sourceforge/pmd/jaxen/AttributeAxisIteratorTest.java']}",4,3
2020-06-18 14:32:19,7f081f0e63174e3f6d59494dde0559b174d9f14c,['d624ee99f0b1acb5992b5ac720d8006475644b49'],['pmd-cpp/src/test/java/net/sourceforge/pmd/cpd/CPPTokenizerTest.java'],['testUnicodeEscapeInIdentifier'],{'pmd-cpp/src/test/java/net/sourceforge/pmd/cpd/CPPTokenizerTest.java': ['testUnicodeEscapeInIdentifier']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-06-27 06:22:34,ad3e8b1fd51070f2bea1e08e1bfca5f72c64f5ff,['06904e7145fd1955f071fa8a1f3331b3ad6b2bc1'],['pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/XPathRuleTest.java'],['testListAttributeDeprecation20'],{'pmd-core/src/test/java/net/sourceforge/pmd/lang/rule/XPathRuleTest.java': ['testListAttributeDeprecation20']},"{'Total File': 0, 'Total Tests': 0, 'Files': []}",1,0
2020-07-28 05:31:59,7db6f3809c07c93729a8183cf80c19a9643d0837,['942493051eb3deb429b7c4a755807b5a366f2bdf'],['pmd-core/src/test/java/net/sourceforge/pmd/properties/MethodPropertyTest.java'],"['testMissingPackageNames', 'testAsStringOn', 'testAsMethodOn', 'testFactorySingleValue', 'testFactoryMultiValueCustomDelimiter', 'testFactoryMultiValueDefaultDelimiter']","{'pmd-core/src/test/java/net/sourceforge/pmd/properties/MethodPropertyTest.java': ['testMissingPackageNames', 'testAsStringOn', 'testAsMethodOn', 'testFactorySingleValue', 'testFactoryMultiValueCustomDelimiter', 'testFactoryMultiValueDefaultDelimiter']}","{'Total File': 1, 'Total Tests': 6, 'Files': ['pmd-core/src/test/java/net/sourceforge/pmd/properties/MethodPropertyTest.java']}",6,6
2020-07-28 05:51:55,942493051eb3deb429b7c4a755807b5a366f2bdf,['d650c87d8d4a60d4ad6fe2a514524d952a50bd94'],"['pmd-core/src/test/java/net/sourceforge/pmd/util/DateTimeUtilTest.java', 'pmd-core/src/test/java/net/sourceforge/pmd/util/StringUtilTest.java']","['testConversions', 'testReplaceWithOneChar', 'testReplaceWithMultipleChars', 'testReplaceStringWithString', 'testReplaceStringWithString2', 'testReplaceWithNull']","{'pmd-core/src/test/java/net/sourceforge/pmd/util/DateTimeUtilTest.java': ['testConversions'], 'pmd-core/src/test/java/net/sourceforge/pmd/util/StringUtilTest.java': ['testReplaceWithOneChar', 'testReplaceWithMultipleChars', 'testReplaceStringWithString', 'testReplaceStringWithString2', 'testReplaceWithNull']}","{'Total File': 1, 'Total Tests': 1, 'Files': ['pmd-core/src/test/java/net/sourceforge/pmd/util/DateTimeUtilTest.java']}",6,1
2020-07-28 06:08:47,d650c87d8d4a60d4ad6fe2a514524d952a50bd94,['e0de46652b00bc95378e8fbb3ff8913edb1673e6'],['pmd-core/src/test/java/net/sourceforge/pmd/lang/dfa/report/ViolationNodeTest.java'],"['testEqualsNodeWithTwoEqualViolations', 'testEqualsNodeWithTwoDifferentViolationsDifferentFilename', 'testEqualsNodeWithTwoDifferentViolationsDifferentBeginLine', 'testEqualsNodeWithTwoDifferentViolationsDifferentEndLine', 'testEqualsNodeWithTwoDifferentViolationsDifferentBeginColumn', 'testEqualsNodeWithTwoDifferentViolationsDifferentEndColumn', 'testEqualsNodeWithTwoDifferentViolationsDifferentVariableName']","{'pmd-core/src/test/java/net/sourceforge/pmd/lang/dfa/report/ViolationNodeTest.java': ['testEqualsNodeWithTwoEqualViolations', 'testEqualsNodeWithTwoDifferentViolationsDifferentFilename', 'testEqualsNodeWithTwoDifferentViolationsDifferentBeginLine', 'testEqualsNodeWithTwoDifferentViolationsDifferentEndLine', 'testEqualsNodeWithTwoDifferentViolationsDifferentBeginColumn', 'testEqualsNodeWithTwoDifferentViolationsDifferentEndColumn', 'testEqualsNodeWithTwoDifferentViolationsDifferentVariableName']}","{'Total File': 1, 'Total Tests': 7, 'Files': ['pmd-core/src/test/java/net/sourceforge/pmd/lang/dfa/report/ViolationNodeTest.java']}",7,7
2020-07-31 10:07:16,5d13e397a05057a60aa5f6501c280055c3bb8e78,['e00b208497f882c4570ae9676d814ba297aeeb95'],"['pmd-java/src/test/java/net/sourceforge/pmd/typeresolution/ClassTypeResolverTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/typeresolution/ClassTypeResolverJava8Test.java']","['testThisExpression', 'testSuperExpression', 'stackOverflowTest', 'testClassNameExists', 'acceptanceTest', 'testEnumAnonymousInnerClass', 'testExtraTopLevelClass', 'testInnerClass', 'testInnerClassNotCompiled', 'testAnonymousClassFromInterface', 'testNestedAnonymousClass', 'testAnonymousExtendingObject', 'testAnonymousInnerClass', 'testLiterals', 'testUnaryNumericPromotion', 'testBinaryNumericPromotion', 'testBinaryStringPromotion', 'testUnaryLogicalOperators', 'testBinaryLogicalOperators', 'testUnaryNumericOperators', 'testBinaryNumericOperators', 'testAssignmentOperators', 'testFullyQualifiedType', 'testThisExpression', 'testArrayTypes', 'testArrayAccess', 'testReferenceType', 'testHeterogeneousArrayFieldDeclaration', 'testFieldAccess', 'testFieldAccessNested', 'testFieldAccessShadow', 'testFieldAccessSuper', 'testBoundsGenericFieldAccess', 'testParameterGenericFieldAccess', 'testSimpleGenericFieldAccess', 'testRawGenericFieldAccess', 'testPrimarySimpleGenericFieldAccess', 'testFieldAccessGenericNested', 'testFieldAccessStatic', 'testMethodPotentialApplicability', 'testMethodAccessibility', 'testMethodFirstPhase', 'testMethodMostSpecific', 'testMethodSecondPhase', 'testMethodThirdPhase', 'testMethodStaticAccess', 'testMethodGenericExplicit', 'testGenericArrays', 'testMethodTypeInference', 'testMethodTypeInferenceVarargsZeroArity', 'testMethodTypeInferenceVarargsAsFixedArity', 'testJavaTypeDefinitionEquals', 'testJavaTypeDefinitionGetSuperTypeSet', 'testJavaTypeDefinitionGetErasedSuperTypeSet', 'testMethodInitialBounds', 'testMethodInitialConstraints', 'testMethodParameterization', 'testNestedAllocationExpressions', 'testAnnotatedTypeParams', 'testMethodOverrides', 'testMethodWildcardParam', 'testAbstractMethodReturnType', 'testMethodOverloaded', 'testVarArgsMethodUseCase', 'testLocalGenericClass', 'testMethodCallExpressionTypes']","{'pmd-java/src/test/java/net/sourceforge/pmd/typeresolution/ClassTypeResolverTest.java': ['stackOverflowTest', 'testClassNameExists', 'acceptanceTest', 'testEnumAnonymousInnerClass', 'testExtraTopLevelClass', 'testInnerClass', 'testInnerClassNotCompiled', 'testAnonymousClassFromInterface', 'testNestedAnonymousClass', 'testAnonymousExtendingObject', 'testAnonymousInnerClass', 'testLiterals', 'testUnaryNumericPromotion', 'testBinaryNumericPromotion', 'testBinaryStringPromotion', 'testUnaryLogicalOperators', 'testBinaryLogicalOperators', 'testUnaryNumericOperators', 'testBinaryNumericOperators', 'testAssignmentOperators', 'testFullyQualifiedType', 'testThisExpression', 'testArrayTypes', 'testArrayAccess', 'testReferenceType', 'testHeterogeneousArrayFieldDeclaration', 'testFieldAccess', 'testFieldAccessNested', 'testFieldAccessShadow', 'testFieldAccessSuper', 'testBoundsGenericFieldAccess', 'testParameterGenericFieldAccess', 'testSimpleGenericFieldAccess', 'testRawGenericFieldAccess', 'testPrimarySimpleGenericFieldAccess', 'testFieldAccessGenericNested', 'testFieldAccessStatic', 'testMethodPotentialApplicability', 'testMethodAccessibility', 'testMethodFirstPhase', 'testMethodMostSpecific', 'testMethodSecondPhase', 'testMethodThirdPhase', 'testMethodStaticAccess', 'testMethodGenericExplicit', 'testGenericArrays', 'testMethodTypeInference', 'testMethodTypeInferenceVarargsZeroArity', 'testMethodTypeInferenceVarargsAsFixedArity', 'testJavaTypeDefinitionEquals', 'testJavaTypeDefinitionGetSuperTypeSet', 'testJavaTypeDefinitionGetErasedSuperTypeSet', 'testMethodInitialBounds', 'testMethodInitialConstraints', 'testMethodParameterization', 'testNestedAllocationExpressions', 'testAnnotatedTypeParams', 'testMethodOverrides', 'testMethodWildcardParam', 'testAbstractMethodReturnType', 'testMethodOverloaded', 'testVarArgsMethodUseCase', 'testLocalGenericClass', 'testMethodCallExpressionTypes'], 'pmd-java/src/test/java/net/sourceforge/pmd/typeresolution/ClassTypeResolverJava8Test.java': ['testThisExpression', 'testSuperExpression']}","{'Total File': 2, 'Total Tests': 66, 'Files': ['pmd-java/src/test/java/net/sourceforge/pmd/typeresolution/ClassTypeResolverTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/typeresolution/ClassTypeResolverJava8Test.java']}",66,66
2020-08-03 16:16:18,c554aceba627ffd1c28b8a80192a7f1baddf9a7c,['bf3d3083eba32c43c836dd2920fe29a43d654ab4'],"['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/DataFlowNodeTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/GeneralFiddlingTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/DAAPathFinderTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/VariableAccessTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/AcceptanceTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/StatementAndBraceFinderTest.java']","['testbook', 'testLabelledBreakLockup', 'test1', 'test2', 'test3', 'test4', 'test6', 'test7', 'test8', 'test9', 'test10', 'test11', 'test12', 'test13', 'test14', 'test15', 'test16', 'test17', 'test18', 'test19', 'test20', 'test21', 'test22', 'test23', 'test24', 'test25', 'test26', 'test27', 'test28', 'test29', 'test30', 'testTwoUpdateDefs', 'testAddPathToChild', 'testRemovePathToChild', 'testRemovePathWithNonChild', 'testReverseParentPathsTo', 'testSetType', 'innerClassShouldWork', 'test1', 'testStatementExpressionParentChildLinks', 'testVariableDeclaratorParentChildLinks', 'testIfStmtHasCorrectTypes', 'testWhileStmtHasCorrectTypes', 'testForStmtHasCorrectTypes', 'testGetVariableName']","{'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/DataFlowNodeTest.java': ['testAddPathToChild', 'testRemovePathToChild', 'testRemovePathWithNonChild', 'testReverseParentPathsTo', 'testSetType'], 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/GeneralFiddlingTest.java': ['innerClassShouldWork', 'test1'], 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/DAAPathFinderTest.java': ['testTwoUpdateDefs'], 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/VariableAccessTest.java': ['testGetVariableName'], 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/AcceptanceTest.java': ['testbook', 'testLabelledBreakLockup', 'test1', 'test2', 'test3', 'test4', 'test6', 'test7', 'test8', 'test9', 'test10', 'test11', 'test12', 'test13', 'test14', 'test15', 'test16', 'test17', 'test18', 'test19', 'test20', 'test21', 'test22', 'test23', 'test24', 'test25', 'test26', 'test27', 'test28', 'test29', 'test30'], 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/StatementAndBraceFinderTest.java': ['testStatementExpressionParentChildLinks', 'testVariableDeclaratorParentChildLinks', 'testIfStmtHasCorrectTypes', 'testWhileStmtHasCorrectTypes', 'testForStmtHasCorrectTypes']}","{'Total File': 6, 'Total Tests': 45, 'Files': ['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/DataFlowNodeTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/GeneralFiddlingTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/DAAPathFinderTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/VariableAccessTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/AcceptanceTest.java', 'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/dfa/StatementAndBraceFinderTest.java']}",45,45
2020-08-03 16:17:01,bf3d3083eba32c43c836dd2920fe29a43d654ab4,['be98a689f74e882198adf305ee75fa17a5b67798'],['pmd-plsql/src/test/java/net/sourceforge/pmd/lang/plsql/dfa/StatementAndBraceFinderTest.java'],"['testExpressionParentChildLinks', 'testVariableOrConstantDeclaratorParentChildLinks', 'testIfStmtHasCorrectTypes', 'testWhileStmtHasCorrectTypes', 'testForStmtHasCorrectTypes', 'testSimpleCaseStmtHasCorrectTypes', 'testLabelledStmtHasCorrectTypes']","{'pmd-plsql/src/test/java/net/sourceforge/pmd/lang/plsql/dfa/StatementAndBraceFinderTest.java': ['testExpressionParentChildLinks', 'testVariableOrConstantDeclaratorParentChildLinks', 'testIfStmtHasCorrectTypes', 'testWhileStmtHasCorrectTypes', 'testForStmtHasCorrectTypes', 'testSimpleCaseStmtHasCorrectTypes', 'testLabelledStmtHasCorrectTypes']}","{'Total File': 1, 'Total Tests': 7, 'Files': ['pmd-plsql/src/test/java/net/sourceforge/pmd/lang/plsql/dfa/StatementAndBraceFinderTest.java']}",7,7
2020-08-13 12:15:02,575d1262a9dc5dbe519d3f17bb3e2b23a5864140,['02a78f5bea0189fbf9e25b383a9df18f2944f6b0'],['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/Java13Test.java'],"['testSwitchExpressions', 'testSwitchExpressionsYield', 'testSwitchExpressionsBeforeJava13', 'testTextBlocks', 'testTextBlocksBeforeJava13']","{'pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/Java13Test.java': ['testSwitchExpressions', 'testSwitchExpressionsYield', 'testSwitchExpressionsBeforeJava13', 'testTextBlocks', 'testTextBlocksBeforeJava13']}","{'Total File': 1, 'Total Tests': 5, 'Files': ['pmd-java/src/test/java/net/sourceforge/pmd/lang/java/ast/Java13Test.java']}",5,5
